record_set,gm_id,base_eq_id,pga_g,path,eligibility_rule
FFext,TCU025-N,,0.0585533,data/gm_ffext/TCU025-N.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,TCU025-V,,0.0342983,data/gm_ffext/TCU025-V.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,TCU036-E,,0.139148,data/gm_ffext/TCU036-E.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,TCU036-N,,0.130863,data/gm_ffext/TCU036-N.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,TCU036-V,,0.0638088,data/gm_ffext/TCU036-V.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,TCU039-E,,0.206222,data/gm_ffext/TCU039-E.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,TCU039-N,,0.144605,data/gm_ffext/TCU039-N.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,TCU039-V,,0.13606,data/gm_ffext/TCU039-V.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,TCU045-E,,0.474352,data/gm_ffext/TCU045-E.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,TCU045-N,,0.512019,data/gm_ffext/TCU045-N.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,TCU045-V,,0.361057,data/gm_ffext/TCU045-V.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,TCU059-E,,0.165361,data/gm_ffext/TCU059-E.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,TCU059-N,,0.172556,data/gm_ffext/TCU059-N.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,TCU059-V,,0.0566435,data/gm_ffext/TCU059-V.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
FFext,TCU070-E,,0.255241,data/gm_ffext/TCU070-E.AT2,"FFext_AT2_flat: AT2 horizontal components, vertical/UP excluded, duplicate gm_id removed"
